;force
0,0;-8630,417304173294
0,5;-8634,372390847364
1,0;-8635,567695926438
1,5;-8635,567695926438
2,0;-8635,966130952795
2,5;-8636,731486370656
3,0;-8636,731486370656
3,5;-8636,880055363536
4,0;-8636,880055363536
4,5;-8635,146750446613
5,0;-8633,764233429543
5,5;-8633,735345014262
6,0;-8633,735345014262
6,5;-8633,735345014262
7,0;-8633,483920564773
7,5;-8631,358241128197
8,0;-8635,831068231995
8,5;-8637,028624356415
9,0;-8633,90417341526
9,5;-8633,747725763667
10,0;-8627,800204221809
10,5;-8625,361831498936
11,0;-8634,833855143428
11,5;-8638,142891803007
12,0;-8638,142891803007
12,5;-8640,853150400379
13,0;-8642,798053579887
13,5;-8642,798053579887
14,0;-8644,081842056816
14,5;-8645,69514894103
15,0;-8644,82024264963
15,5;-8638,638121779271
16,0;-8636,463611974405
16,5;-8626,374989492042
17,0;-8629,996358693472
17,5;-8637,309254676296
18,0;-8628,267555867242
18,5;-8625,819284316754
19,0;-8631,283956631756
19,5;-8624,796443942703
20,0;-8624,329784926607
20,5;-8626,009757384549
21,0;-8621,924110080374
21,5;-8619,918428676505
22,0;-8623,075519775186
22,5;-8626,950694339448
23,0;-8629,468113385456
23,5;-8635,070214904827
24,0;-8634,304859486965
24,5;-8634,50295147747
25,0;-8635,394365434744
25,5;-8634,50295147747
26,0;-8629,062174874609
26,5;-8629,872551199405
27,0;-8626,092295713925
27,5;-8620,289851158701
28,0;-8620,474436877128
28,5;-8618,073697014923
29,0;-8617,516563291625
29,5;-8619,772110728973
30,0;-8621,573639635633
30,5;-8617,376998480135
31,0;-8619,242249285839
31,5;-8625,329941689859
32,0;-8633,573269749302
32,5;-8642,399806140642
33,0;-8641,828228209704
33,5;-8631,531571619887
34,0;-8634,280097988152
34,5;-8642,97138407158
35,0;-8636,855293864723
35,5;-8637,089575738108
36,0;-8638,51206323986
36,5;-8639,29182534794
37,0;-8639,14750118343
37,5;-8630,435875297404
38,0;-8630,673172994366
38,5;-8632,373462579537
39,0;-8632,769646560548
39,5;-8631,770182426633
40,0;-8624,13913870148
40,5;-8629,915321060991
41,0;-8635,317829892958
41,5;-8636,236256394393
42,0;-8635,542934427624
42,5;-8628,783045251625
43,0;-8623,53360750323
43,5;-8635,306574666225
44,0;-8644,922590178057
44,5;-8628,698443464013
45,0;-8623,13742352222
45,5;-8628,130992449544
46,0;-8636,90068994588
46,5;-8639,941477034983
47,0;-8637,276239344546
47,5;-8632,24965508547
48,0;-8631,265385507646
48,5;-8637,177193349295
49,0;-8636,767503096202
49,5;-8631,680140612767
50,0;-8633,766859649115
50,5;-8634,230574990524
51,0;-8638,521067421245
51,5;-8642,12949311193
52,0;-8641,062685204728
52,5;-8635,419126933557
53,0;-8638,378126041735
53,5;-8636,731486370658
54,0;-8635,790549415757
54,5;-8635,790549415757
55,0;-8631,746171276269
55,5;-8626,851648344196
56,0;-8632,74869452309
56,5;-8638,325226476087
57,0;-8627,801589480485
57,5;-8629,501128717206
58,0;-8628,296819456747
58,5;-8627,018788461184
59,0;-8629,723982206526
59,5;-8631,028087810686
60,0;-8629,723982206526
60,5;-8631,517127412248
61,0;-8633,438207028503
61,5;-8632,460127825383
62,0;-8635,17770232013
62,5;-8635,873087745133
63,0;-8630,425558006233
63,5;-8636,114512358561
64,0;-8633,811880556046
64,5;-8625,044058930835
65,0;-8628,32495752358
65,5;-8638,19016375529
66,0;-8633,863279424797
66,5;-8637,721946323185
67,0;-8634,444424298457
67,5;-8629,169705579245
68,0;-8633,496734207516
68,5;-8634,10264057999
69,0;-8629,41859038783
69,5;-8623,558369002043
70,0;-8623,558369002043
70,5;-8623,972561345827
71,0;-8632,744885061733
71,5;-8637,036878189352
72,0;-8629,872551199403
72,5;-8634,262089625377
73,0;-8641,980924119052
73,5;-8640,815070216599
74,0;-8639,182874753162
74,5;-8633,955947458235
75,0;-8628,733522253999
75,5;-8633,042023047492
76,0;-8639,182874753162
76,5;-8632,563300737105
77,0;-8628,733522253999
77,5;-8629,777632120622
78,0;-8631,061103142438
78,5;-8635,59921056129
79,0;-8635,29531943949
79,5;-8629,532080590723
80,0;-8625,068820429646
80,5;-8633,289638035623
81,0;-8634,663901219756
81,5;-8636,131020024437
82,0;-8636,657201874215
82,5;-8628,6322252134
83,0;-8636,765771522858
83,5;-8640,49523419026
84,0;-8637,829996499822
84,5;-8635,321985668983
85,0;-8637,586883602384
85,5;-8635,689439962269
86,0;-8639,08382875791
86,5;-8646,27704416314
87,0;-8638,201418982022
87,5;-8632,930596302833
88,0;-8642,674246085822
88,5;-8647,676068846085
89,0;-8636,9976724829
89,5;-8622,520637097237
90,0;-8606,076750839937
90,5;-8608,969344110386
91,0;-8624,352988009412
91,5;-8620,13509179112
92,0;-8609,604138898141
92,5;-8609,84049865954
93,0;-8620,13509179112
93,5;-8630,334015495468
94,0;-8638,39725992718
94,5;-8636,483871382523
95,0;-8629,744241614644
95,5;-8637,938046676461
96,0;-8643,984700792242
96,5;-8645,447533952898
97,0;-8637,41337995336
97,5;-8622,527390233277
98,0;-8614,322329944725
98,5;-8624,771682443888
99,0;-8631,90749619278
99,5;-8623,793603240769
100,0;-8622,992981445808
100,5;-8629,187483065574
101,0;-8634,376892938059
101,5;-8637,950990187206
102,0;-8637,665670189517
102,5;-8634,944156365415
103,0;-8635,146750446613
103,5;-8638,747485065696
104,0;-8644,412053093436
104,5;-8649,61571958645
105,0;-8652,603607109908
105,5;-8642,878528451029
106,0;-8647,564642101424
106,5;-8652,603607109908
107,0;-8649,456992029953
107,5;-8639,326941655347
108,0;-8632,294675992402
108,5;-8629,798266702965
109,0;-8631,319973357302
109,5;-8633,093609503352
110,0;-8633,537253023755
110,5;-8634,069625248238
111,0;-8637,74445677665
111,5;-8638,960021263843
112,0;-8638,960021263843
112,5;-8638,960021263843
113,0;-8638,960021263843
113,5;-8638,960021263843
114,0;-8633,382969838842
114,5;-8629,131957280355
115,0;-8627,266879631985
115,5;-8621,305072610043
116,0;-8621,305072610043
116,5;-8629,690966874774
117,0;-8636,68196337303
117,5;-8637,259731678672
118,0;-8637,548615831492
118,5;-8637,177193349295
119,0;-8636,967846132055
119,5;-8641,044114080618
120,0;-8635,45289261376
120,5;-8624,73791676369
121,0;-8622,697430735616
121,5;-8624,251690968813
122,0;-8630,640157662614
122,5;-8640,09905020925
123,0;-8635,079219086212
123,5;-8622,753620290616
124,0;-8638,548599437408
124,5;-8644,902780979006
125,0;-8641,046177538854
125,5;-8630,747457490805
126,0;-8627,378392955314
126,5;-8628,807806750438
127,0;-8634,115771677845
127,5;-8636,161971897953
128,0;-8634,238193913236
128,5;-8633,895169233872
129,0;-8636,236256394393
129,5;-8636,236256394393
130,0;-8637,548615831492
130,5;-8634,51645774955
131,0;-8620,407468278065
131,5;-8616,105157859274
132,0;-8626,568016630517
132,5;-8619,851763102777
133,0;-8621,16550779855
133,5;-8633,392493492232
134,0;-8626,259623418027
134,5;-8635,491347971763
135,0;-8637,647661826744
135,5;-8631,696648278643
136,0;-8628,98789037817
136,5;-8636,328549253607
137,0;-8634,230574990524
137,5;-8629,935580469111
138,0;-8628,20400712553
138,5;-8622,878553307355
139,0;-8624,771682443887
139,5;-8633,685822016636
140,0;-8631,700400020885
140,5;-8622,96859512122
141,0;-8617,906556897933
141,5;-8618,036554766702
142,0;-8629,946835695844
142,5;-8642,141873861337
143,0;-8625,498770090855
143,5;-8615,650446699252
144,0;-8619,528997831532
144,5;-8635,837821368033
145,0;-8637,499092833865
145,5;-8621,6022105958
146,0;-8618,977491721604
146,5;-8621,418562812938
147,0;-8636,173227124687
147,5;-8634,872122914323
148,0;-8621,577449096989
148,5;-8618,822732354021
149,0;-8619,992713172946
149,5;-8640,382855080261
150,0;-8649,15725668418
150,5;-8636,28577939202
151,0;-8622,421591101982
151,5;-8633,219855629879
152,0;-8638,960021263843
152,5;-8638,043845807757
153,0;-8627,767823800283
153,5;-8621,237541249644
154,0;-8619,373675702614
154,5;-8624,454285050011
155,0;-8624,243437135874
155,5;-8613,889003715494
156,0;-8615,70278350356
156,5;-8630,54111166736
157,0;-8643,763752033601
157,5;-8652,058854136018
158,0;-8648,200187237631
158,5;-8639,3102196042
159,0;-8642,798053579887
159,5;-8622,90106376082
160,0;-8622,171725068505
160,5;-8627,821848888603
161,0;-8635,920547284526
161,5;-8636,36006388846
162,0;-8632,50552390654
162,5;-8631,981405514996
163,0;-8636,200239668848
163,5;-8636,36006388846
164,0;-8636,36006388846
164,5;-8634,33581136048
165,0;-8629,489873490475
165,5;-8637,720041592505
166,0;-8643,955090888066
166,5;-8645,323726458832
167,0;-8639,250406113562
167,5;-8637,62290032793
168,0;-8631,457287123449
168,5;-8631,657737351938
169,0;-8632,860438722862
169,5;-8634,32061680439
170,0;-8636,149591148547
170,5;-8626,707581442011
171,0;-8621,874587082746
171,5;-8630,66942125212
172,0;-8632,755202352906
172,5;-8623,665668830232
173,0;-8628,01994087911
173,5;-8627,297355322835
174,0;-8626,172475805322
174,5;-8621,69000136432
175,0;-8627,05799416764
175,5;-8632,39822407835
176,0;-8638,6876447769
176,5;-8646,17237055452
177,0;-8643,553279293688
177,5;-8634,33723990849
178,0;-8642,393615765937
178,5;-8649,441754184532
179,0;-8640,517744643728
179,5;-8635,706741265927
180,0;-8624,990033842514
180,5;-8623,46344992326
181,0;-8627,714173886188
181,5;-8632,94297705224
182,0;-8622,22124806613
182,5;-8615,83278137233
183,0;-8614,941367415055
183,5;-8615,706722832918
184,0;-8619,255582400581
184,5;-8615,898061687381
185,0;-8611,23333296778
185,5;-8610,23668264055
186,0;-8614,223283949472
186,5;-8614,223283949472
187,0;-8608,79845225115
187,5;-8598,619037606473
188,0;-8592,656018483189
188,5;-8592,232769608127
189,0;-8592,897874983224
189,5;-8593,562980358322
190,0;-8591,56651253541
190,5;-8587,59514907191
191,0;-8584,80662335941
191,5;-8579,97813109084
192,0;-8576,214383271235
192,5;-8574,519346125206
193,0;-8568,175149989887
193,5;-8547,973893874801
194,0;-8545,962022096228
194,5;-8557,717543657787
195,0;-8551,329076963986
195,5;-8539,324252130285
196,0;-8534,826663527672
196,5;-8528,327549297215
197,0;-8529,41289946897
197,5;-8532,572241613001
198,0;-8522,927637825265
198,5;-8510,571649917487
199,0;-8523,447629300343
199,5;-8525,511837883223
200,0;-8511,716869237596
200,5;-8500,091345544806
201,0;-8495,318566648564
201,5;-8493,238600748256
202,0;-8496,758543041085
202,5;-8491,230668299042
203,0;-8482,044152239354
203,5;-8479,916914386766
204,0;-8474,36358551657
204,5;-8473,066233048452
205,0;-8482,104180115264
205,5;-8475,166833531102
206,0;-8467,725252789292
206,5;-8478,158847971028
207,0;-8481,303558320302
207,5;-8470,26818368256
208,0;-8462,420852017016
208,5;-8451,931918637172
209,0;-8446,637459981846
209,5;-8451,769843372214
210,0;-8457,179105340223
210,5;-8446,637459981846
211,0;-8447,015635600084
211,5;-8447,198720621613
212,0;-8444,757649530278
212,5;-8457,33442746914
213,0;-8450,945960775338
213,5;-8440,793746261934
214,0;-8440,354792419335
214,5;-8447,456840488027
215,0;-8446,315560497274
215,5;-8451,243098761099
216,0;-8454,8430397424
216,5;-8451,243098761099
217,0;-8455,97029398907
217,5;-8457,742992199559
218,0;-8454,854150671355
