,force
0.0,8620.710796638527
0.5,8616.45181884266
1.0,8619.8498583721
1.5,8626.970953747568
2.0,8627.34687832046
2.5,8630.404923423888
3.0,8633.462968527318
3.5,8631.169153319077
4.0,8625.863251849903
4.5,8631.482048622263
5.0,8620.33937415633
5.5,8615.065174909121
6.0,8618.57511736589
6.5,8621.082219120724
7.0,8634.271844155213
7.5,8646.363709408986
8.0,8645.310220186751
8.5,8630.565873166173
9.0,8630.565873166173
9.5,8625.567859867266
10.0,8622.44410155545
10.5,8620.865556006109
11.0,8610.27382488877
11.5,8604.417730419453
12.0,8615.553651749346
12.5,8622.636003171252
13.0,8625.365958415405
13.5,8625.365958415405
14.0,8617.640370785692
14.5,8609.518599174968
15.0,8622.934829441017
15.5,8634.29247873756
16.0,8609.73920161894
16.5,8600.919605950754
17.0,8603.130132481167
17.5,8609.363277046048
18.0,8629.760172089405
18.5,8627.479689995911
19.0,8612.137127674461
19.5,8604.987244892156
20.0,8612.706079385829
20.5,8626.928183885982
21.0,8632.480762407728
21.5,8630.169689185162
22.0,8613.57948498033
22.5,8617.590847788066
23.0,8631.077610808312
23.5,8633.636299019008
24.0,8625.143104926086
24.5,8613.381392989824
25.0,8613.381392989824
25.5,8632.794408059359
26.0,8639.628581731798
26.5,8626.686571685443
27.0,8611.953479891597
27.5,8620.005093922351
28.0,8624.77168244389
28.5,8628.758283752812
29.0,8628.542183399533
29.5,8624.049472061837
30.0,8624.515813622818
30.5,8630.590634664986
31.0,8630.590634664986
31.5,8630.590634664986
32.0,8619.515491559452
32.5,8606.547219317385
33.0,8606.547219317385
33.5,8614.306572627298
34.0,8606.695788310266
34.5,8604.944475030568
35.0,8612.531248197238
35.5,8632.505523906539
36.0,8644.141364890502
36.5,8645.051349971887
37.0,8636.988105540175
37.5,8635.416875888212
38.0,8645.051349971887
38.5,8638.51206323986
39.0,8624.425021460505
39.5,8624.425021460505
40.0,8624.425021460505
40.5,8627.37389086462
41.0,8631.259195132941
41.5,8629.627187256618
42.0,8625.480761728084
42.5,8626.579271857252
43.0,8624.713905613326
43.5,8620.98317312547
44.0,8620.98317312547
44.5,8618.983682096306
45.0,8617.813701277384
45.5,8620.386646108609
46.0,8627.078628749983
46.5,8625.097708844929
47.0,8629.442601538194
47.5,8633.363922532064
48.0,8616.657529755877
48.5,8623.414302099856
49.0,8616.6611660599
49.5,8605.358667374352
50.0,8610.119628282524
50.5,8623.288243560444
51.0,8615.83278137233
51.5,8610.515812263533
52.0,8615.329297563128
52.5,8615.54389721951
53.0,8619.998903547648
53.5,8621.077717030032
54.0,8615.997858031084
54.5,8615.997858031085
55.0,8619.825573055956
55.5,8624.202167971185
56.0,8628.411622769427
56.5,8629.748743705339
57.0,8627.899885127288
57.5,8628.380108134574
58.0,8640.977131051779
58.5,8637.638657645359
59.0,8629.203990731448
59.5,8622.246009564944
60.0,8615.486120388945
60.5,8618.440992580652
61.0,8629.360813557265
61.5,8620.575733917727
62.0,8612.279506292638
62.5,8611.846180063407
63.0,8620.570481478586
63.5,8626.925932840637
64.0,8625.2691634655
64.5,8617.219425305868
65.0,8619.695575187186
65.5,8625.976742052799
66.0,8626.925932840637
66.5,8625.588811904723
67.0,8623.484084505602
67.5,8617.331977573202
68.0,8620.141282165823
68.5,8627.322116821648
69.0,8622.099691617412
69.5,8616.804194018077
70.0,8622.099691617412
70.5,8623.14774081339
71.0,8626.954821255917
71.5,8635.419126933557
72.0,8631.828709605647
72.5,8621.543683416789
73.0,8627.718300802659
73.5,8633.00900771574
74.0,8623.162185021032
74.5,8612.661058478896
75.0,8611.969987557473
75.5,8616.02186918145
76.0,8622.119951025532
76.5,8622.394578557823
77.0,8609.750456845673
77.5,8610.797192931866
78.0,8621.682209284276
78.5,8622.637691455262
79.0,8620.77270038556
79.5,8611.445869165927
80.0,8605.461840286074
80.5,8613.70535593263
81.0,8622.831281355073
81.5,8618.977491721604
82.0,8610.261444139363
82.5,8613.014097424095
83.0,8611.83792623047
