,force
0.0,
0.5,
1.0,-304.36510475005355
1.5,-310.6380177827268
2.0,-310.6380177827268
2.5,-312.06428011436617
3.0,-314.4873053255038
3.5,-314.20367361182525
4.0,-314.20367361182525
4.5,-314.43478093408186
5.0,-314.23256202710735
5.5,-311.52943174000154
6.0,-314.20367361182525
6.5,-314.20367361182525
7.0,-315.5272882756583
7.5,-329.77640531997105
8.0,-330.9919698071635
8.5,-330.9919698071635
9.0,-338.21089907654533
9.5,-342.08512127546965
10.0,-342.08512127546965
10.5,-342.4317822588546
11.0,-342.4317822588546
11.5,-343.83643455516597
12.0,-344.6755549974649
12.5,-345.45268511406266
13.0,-345.45268511406266
13.5,-352.1154330254873
14.0,-368.5754229148831
14.5,-366.5494821028951
15.0,-366.5494821028951
15.5,-366.5494821028951
16.0,-366.5494821028951
16.5,-369.388800633474
17.0,-370.80845989876343
17.5,-370.80845989876343
18.0,-373.1608022860155
18.5,-376.3235209980632
19.0,-376.50360462579556
19.5,-376.50360462579556
20.0,-376.50360462579556
20.5,-375.51314467326756
21.0,-370.80845989876343
21.5,-370.80845989876343
22.0,-349.0596101078504
22.5,-342.96002756686886
23.0,-330.5867816447658
23.5,-264.95305247240566
24.0,-97.8872199798534
24.5,-66.11596595719327
25.0,-36.42917992553157
25.5,-36.42917992553157
26.0,-18.17043164682579
26.5,-15.444935204032172
27.0,-15.282859939073205
27.5,-15.307621437886361
28.0,-15.579997924831332
28.5,-15.381905934325914
29.0,-13.301940034018116
29.5,-13.301940034018116
30.0,-13.301940034018116
30.5,-15.372901752939383
31.0,-9.78580720254619
31.5,-6.97200051922975
32.0,-7.08108963987533
32.5,-10.033422190677811
33.0,-10.49263544139526
33.5,-10.7349979903849
34.0,-7.763618132802852
34.5,-10.33956435782269
35.0,-11.717204109974773
35.5,-11.717204109974773
36.0,-9.736284204919684
36.5,-9.736284204919684
37.0,-9.736284204919684
37.5,-11.552127451220064
38.0,-31.616444974388084
38.5,-9.16676973221638
39.0,-8.597255259513076
39.5,-10.07881827183566
40.0,-12.351998897730846
40.5,-8.976931574648612
41.0,-8.597255259513076
41.5,-17.560917829886492
42.0,-21.968464618632424
42.5,-15.233336941446396
43.0,-15.233336941446396
43.5,-15.233336941446396
44.0,-16.313838707840162
44.5,-16.71902687023794
45.0,-15.233336941446396
45.5,-16.09998939990811
46.0,-16.71902687023794
46.5,-16.71902687023794
47.0,-16.71902687023794
47.5,-15.503462383044837
48.0,-10.776267155073583
48.5,-21.563276456234853
49.0,-30.04071323173048
49.5,-23.917869888834563
50.0,-10.887693899733327
50.5,-18.848515768171637
51.0,-19.789452723072827
51.5,-17.907578813270447
52.0,-17.907578813270447
52.5,-14.639060969930142
53.0,-13.00480204825999
53.5,-18.37804729072111
54.0,-19.65439000227344
54.5,-19.5418377349406
55.0,-17.907578813270447
55.5,-18.65042377766604
56.0,-19.727548976039763
56.5,-20.779912675599917
57.0,-19.5418377349406
57.5,-20.264048116991855
58.0,-20.914975396398642
58.5,-21.17159456591774
59.0,-20.928481668478526
59.5,-20.817054923819573
60.0,-20.779912675599917
60.5,-20.951338436614414
61.0,-21.225619654237562
61.5,-20.779912675599917
62.0,-13.648601017403053
62.5,-13.648601017403053
63.0,-13.648601017403053
63.5,-13.648601017403053
64.0,-13.256543952860879
64.5,-12.023346277119233
65.0,-11.766727107600673
65.5,-13.864701370681734
66.0,-13.978754334912091
66.5,-12.080372759234402
67.0,-13.648601017403053
67.5,-13.978754334912091
68.0,-14.440968979424724
68.5,-17.80853281801774
69.0,-16.686011538486735
69.5,-14.440968979424724
70.0,-17.502390650873156
